iter	Passed	Remaining
0	16513	1634828
1	34110	1671421
2	51954	1679846
3	65220	1565296
4	80118	1522247
5	94593	1481958
6	110313	1465591
7	131772	1515381
8	150366	1520377
9	167751	1509760
10	183008	1480705
11	202063	1481797
12	217044	1452530
13	236472	1452615
14	254279	1440918
15	272746	1431916
16	291187	1421680
17	310624	1415069
18	329570	1405010
19	345220	1380880
20	361400	1359553
21	393408	1394811
22	405484	1357489
23	417878	1323280
24	430962	1292886
25	665695	1894671
26	678771	1835196
27	691402	1777892
28	859422	2104102
29	872927	2036830
30	885795	1971609
31	898288	1908862
32	1395702	2833698
33	1409520	2736128
34	1422454	2641701
35	3441669	6118523
36	6289459	10709078
37	6541223	10672522
38	6555285	10253138
39	6568236	9852355
40	6583689	9474090
41	6595846	9108549
42	6607967	8759398
43	6620238	8425757
44	6633105	8107128
45	6646392	7802287
46	6659373	7509506
47	6672746	7228808
48	6686400	6959314
49	6700804	6700804
50	6715321	6451975
51	6729268	6211632
52	6743406	5980001
53	6757581	5756458
54	6769511	5538691
55	6783321	5329752
56	6795630	5126528
57	6807919	4929872
58	6821928	4740662
59	6836968	4557979
60	6851591	4380525
61	6869196	4210152
62	6892183	4047790
63	6914807	3889579
64	6934594	3734012
65	6953544	3582129
66	6974231	3435069
67	6994373	3291469
68	7017820	3152933
69	7033536	3014372
70	7050374	2879730
71	7069209	2749137
72	7089103	2621997
73	7107055	2497073
74	7123964	2374654
75	7142827	2255629
76	7159371	2138513
77	7177040	2024293
78	7195200	1912648
79	7214007	1803501
80	7233036	1696638
81	7249179	1591283
82	7268290	1488686
83	7283033	1387244
84	7297835	1287853
85	7320026	1191632
86	7337953	1096475
87	7355535	1003027
88	7373399	911319
89	7392600	821400
90	7410822	732938
91	7429949	646082
92	7449246	560695
93	7465995	476552
94	7484926	393943
95	7502615	312608
96	7521523	232624
97	7538502	153846
98	7556562	76328
99	7574114	0
